date,start and end times,title,description,website,map and location
"Friday, March 22, 2019","12:00 PM,1:00 PM",HIPAA 101,"<p style=""white-space:pre-wrap;""> Learn how health information is protected across a variety of settings and HIPAA’s relevancy to the changing landscape of health information privacy and security. <strong>Please RSVP to </strong><a href=""mailto:kfernandez@hlc.org""><strong>kfernandez@hlc.org </strong></a><br/></p>",https://www.hillhappenings.com//list/2019/3/22/hipaa-101,http://maps.google.com?q=2020 Rayburn House Office Building
"Tuesday, March 26, 2019","5:30 PM,8:00 PM",Reception to Honor the Future of Japanese-American Cooperation,"<p style=""white-space:pre-wrap;"">The American Legion and the Embassy of Japan invite you to attend a reception to honor the future of Japanese-American Cooperation. This is a widely attended event and will feature Japanese whisky and cuisine. <strong><em>RSVP required to </em></strong><a href=""mailto:agency@legion.org""><strong><em>agency@legion.org </em></strong></a><strong><em>or 703-348-6988</em></strong></p>",https://www.hillhappenings.com//list/2019/3/26/reception-to-honor-the-future-of-japanese-american-cooperation,"http://maps.google.com?q=HVC-201AB, Capitol Visitor Center"
"Tuesday, March 26, 2019","6:00 PM,8:00 PM",Sojourner Truth Reception Honoring the Women of the CBC's 116th Congress,"<p style=""white-space:pre-wrap;"">Join the Congressional Black Caucus Foundation, Inc. (CBCF) as they celebrate the 10th Anniversary of the Sojourner Truth Legacy Project. CBCF will host this event in observance of National Women's History Month to pay homage to the women of the Congressional Black Caucus in the 116th Congress.</p>",https://www.hillhappenings.com//list/2019/3/26/sojourner-truth-reception-honoring-the-women-of-the-cbcs-116th-congress,http://maps.google.com?q=2325 Rayburn House Office Building
"Wednesday, March 27, 2019","9:00 AM,10:00 AM",Breaking Down Barriers to a Cancer Cure,"<p style=""white-space:pre-wrap;"">AACI will host a briefing targeted toward new members of Congress and staff at 9:00 am on Wednesday, March 27. ""Breaking Down Barriers to a Cure"" will examine financial and structural barriers to cancer research and treatment, focusing on cancer-related legislation and breakthroughs in CAR T-cell therapy. <a href=""mailto:jaren@aaci-cancer.org"" target=""_blank""><strong>RSVP Today</strong></a></p>",https://www.hillhappenings.com//list/2019/3/27/breaking-down-barriers-to-a-cancer-cure,http://maps.google.com?q=2043 Rayburn House Office Building
"Wednesday, March 27, 2019","5:30 PM,7:30 PM",Rural Community Assistance Partnership Reception,"<p style=""white-space:pre-wrap;"">Join RCAP as we celebrate members of Congress who have advocated on behalf of rural America. <span style=""text-decoration:underline""><strong>Attendance will not be permitted without prior registration.</strong></span> No federal funds are used for the RCAP Congressional Champions Reception. <a href=""https://www.eventbrite.com/e/rcap-congressional-champions-reception-tickets-56515506401?aff=ebdssbdestsearch"">RSVP</a></p>",https://www.hillhappenings.com//list/2019/3/27/rural-community-assistance-partnership-reception,"http://maps.google.com?q=SVC-203, Capitol Visitor Center"
"Wednesday, March 27, 2019","6:00 PM,8:00 PM",National Alliance of Independent Crop Consultants Crawfish Boil on the Hill,"<p style=""white-space:pre-wrap;""><a href=""mailto:AllisonJones@NAICC.org"">RSVP</a></p>",https://www.hillhappenings.com//list/2019/3/27/national-alliance-of-independent-crop-consultants-crawfish-boil-on-the-hill,http://maps.google.com?q=Longworth HOB Cafeteria
"Thursday, March 28, 2019","11:30 AM,3:00 PM",Strategies to Outpace the Threat: Lessons Learned & New Ideas,"<p style=""white-space:pre-wrap;"">This event, featuring Secretary of the Air Force Heather Wilson and other defense and congressional leaders, will focus on the need for urgent change in defense space, lessons learned for new models of defense space acquisition, and how better acquisition might meet new space systems and on-the-ground special operations needs. </p>",https://www.hillhappenings.com//list/2019/3/28/strategies-to-outpace-the-threat-lessons-learned-amp-new-ideas,http://maps.google.com?q=902 Hart Senate Office Building
"Thursday, March 28, 2019","11:45 AM,1:00 PM",Achieving Energy and Climate Goals - The Role of Carbon Capture,"<p style=""white-space:pre-wrap;"">Please join the Carbon Utilization Research Council (CURC), the Global CCS Institute, and the Carbon Capture Coalition for C<em>arbon Lunches - A Carbon Capture 101 Briefings Series</em>. The briefings will provide an introduction to Carbon Capture, Use, and Storage, and how this suite of technologies can deliver steep emissions reductions alongside other clean and renewable sources of energy in the transition to a zero-carbon economy, while supporting clean energy production and creating high-wage energy, industrial, and manufacturing jobs,</p>",https://www.hillhappenings.com//list/2019/3/28/achieving-energy-and-climate-goals-the-role-of-carbon-capture,"http://maps.google.com?q=CVC-203, Capitol Visitor Center"
"Thursday, March 28, 2019","12:00 PM,1:00 PM",New Arrivals: Who are the new immigrants and how are they doing?,"<p style=""white-space:pre-wrap;"">Population Science offers a valuable window into the study of immigration. In fact, a wealth of data exists that enables researchers to evaluate not only who is arriving in the country and where they settle, but also how they fare once they make the U.S. their home. Join us for a fascinating exploration of the immigrant experience as revealed by empirical evidence and scholarly analysis by some of the nation’s foremost experts on the topic. RSVP: <a href=""mailto:CRDFellow3@dc-crd.com"">CRDFellow3@dc-crd.com  </a></p>",https://www.hillhappenings.com//list/2019/3/28/new-arrivals-who-are-the-new-immigrants-and-how-are-they-doing,http://maps.google.com?q=2168 Rayburn House Office Building
"Thursday, March 28, 2019","12:00 PM,1:30 PM","Assessing Your PAC: Existing Resources, Priorities for Growth & How You Stack Up","<p style=""white-space:pre-wrap;"">When it comes to running an effective PAC program, it’s important to understand both the causes of common problems and the solutions to getting things back on track so you can grow participation and receipts and get your voice heard. The first session of this four-part series, <em>Assessing Your PAC: Existing Resources, Priorities for Growth and How You Stack Up</em>, will tell you where to start in building a successful PAC program – from understanding the resources you already have, to prioritizing what you need, to understanding how you stack up against industry best practices and finally, to measuring your own factors for success.</p>",https://www.hillhappenings.com//list/2019/3/28/assessing-your-pac-existing-resources-priorities-for-growth-amp-how-you-stack-up,"http://maps.google.com?q=1717 Pennsylvania Avenue Northwest, Suite 500 Washington, DC, 20006 United States"
"Thursday, March 28, 2019","5:00 PM,7:00 PM",Bipartisan Tech & Telecom Happy Hour,"<p style=""white-space:pre-wrap;"">Join Amy Murphy, Austin Carson, David Grossman, Jay Cho, Laurent Crenshaw, &amp; Norberto Salinas for a happy hour on Thursday, March 28 from 5-7 pm on the 2nd floor of Hawk 'n' Dove. All friends of tech and telecom are welcome.</p>",https://www.hillhappenings.com//list/2019/3/28/bipartisan-tech-amp-telecom-happy-hour,"http://maps.google.com?q=329 Pennsylvania Avenue Southeast Washington, DC, 20003 United States"
"Tuesday, April 2, 2019","5:30 PM,7:30 PM",Financial Literacy for Millennials: Retirement Savings & Taxes,"<p style=""white-space:pre-wrap;"">We’ll discuss confusing financial situations and key tools like budgeting and debt management, ways to invest during the current environment, and much more.  Each event will be hosted at <a href=""https://theyard.com/washington-dc-coworking/eastern-market/"" target=""_blank"">The Yard,</a> a beautiful new space at 700 Pennsylvania Avenue SE in the heart of Eastern Market and just steps off the House side of Capitol Hill. The events will include a one hour presentation with time for audience questions, as well as an hour of networking.</p>",https://www.hillhappenings.com//list/2019/4/2/financial-literacy-for-millennials-retirement-savings-amp-taxes,"http://maps.google.com?q=700 Pennsylvania Avenue Southeast, 2nd Floor Washington, DC, 20003 United States"
"Wednesday, April 3, 2019","11:30 AM,1:00 PM","STDs: A Rising Threat To Women, Children, And Families","<p style=""white-space:pre-wrap;"">Join the National Coalition of STD Directors and congressional allies for a lunch briefing on the historic levels of STDs in the U.S.</p>",https://www.hillhappenings.com//list/2019/4/3/stds-a-rising-threat-to-women-children-and-families,"http://maps.google.com?q=CVC-208, Capitol Visitor Center"
"Tuesday, April 9, 2019","12:00 PM,1:00 PM",Homeopathy on the Hill,,https://www.hillhappenings.com//list/2019/4/9/homeopathy-on-the-hill,http://maps.google.com?q=2168 Rayburn House Office Building
"Wednesday, April 10, 2019","12:30 PM,4:00 PM",Closing the Rural Cancer Care Gap,"<p style=""white-space:pre-wrap;"">Today, Americans diagnosed with cancer in rural areas face greater challenges in accessing cancer care, and as a result, they generally have worse outcomes than their urban and suburban counterparts. On April 10, 2019, the American Society of Clinical Oncology (ASCO) will convene some of the nation’s  top physicians advocates, and rural health experts for a discussion on the challenges facing Americans living with cancer in rural areas and promising opportunities to improve outcomes.</p>",https://www.hillhappenings.com//list/2019/4/10/closing-the-rural-cancer-care-gap,"http://maps.google.com?q=529 14th Street Northwest Washington, DC, 20045 United States"
"Tuesday, May 7, 2019","5:30 PM,7:30 PM",Financial Literacy for Millennials: Home Buying,"<p style=""white-space:pre-wrap;"">We’ll discuss confusing financial situations and key tools like budgeting and debt management, ways to invest during the current environment, and much more.  Each event will be hosted at <a href=""https://theyard.com/washington-dc-coworking/eastern-market/"" target=""_blank"">The Yard,</a> a beautiful new space at 700 Pennsylvania Avenue SE in the heart of Eastern Market and just steps off the House side of Capitol Hill. The events will include a one hour presentation with time for audience questions, as well as an hour of networking.</p>",https://www.hillhappenings.com//list/2019/5/7/financial-literacy-for-millennials-home-buying,"http://maps.google.com?q=700 Pennsylvania Avenue Southeast, 2nd Floor Washington, DC, 20003 United States"
"Tuesday, March 19, 2019","2:00 PM,3:00 PM",Unpacking Privacy: Perspectives and Principles,"<p style=""white-space:pre-wrap;"">Please join the Center for Growth and Opportunity at Utah State University for a discussion with some of today’s leading policy experts on where have we been and what the future may hold for internet privacy. Our panelists will discuss a number of issues at the center of the current debate, including (1) the economics of privacy, (2) understanding compliance costs and competitive effects, (3) the lessons we’ve learned so far, (4) and outline general principles for federal privacy rules.</p>",https://www.hillhappenings.com//list/2019/3/19/unpacking-privacy-perspectives-and-principles,http://maps.google.com?q=188 Russell Senate Office Building
"Tuesday, March 19, 2019","12:00 PM,1:30 PM",Managing the ICT Supply Chain: Industry Innovation & Government Partnership,"<p style=""white-space:pre-wrap;"">TIA’s Policy Forums are exclusive events held in Washington, D.C. that bring together professionals from across the tech and telecommunications industries with members of Congress, policymakers and the news media to engage in an informed dialogue about the importance of accelerating investment and innovation throughout the connectivity supply chain.</p>",https://www.hillhappenings.com//list/2019/3/19/managing-the-ict-supply-chain-industry-innovation-amp-government-partnership,"http://maps.google.com?q=700 Pennsylvania Avenue Southeast, 6th Floor Washington, DC, 20003 United States"
"Tuesday, March 19, 2019","11:30 AM,1:30 PM",Approaches to Regulating Technology—From Privacy to A.I.,"<p style=""white-space:pre-wrap;"">There is new energy and momentum to legislate on technology issues—particularly when it comes to privacy, competition, and artificial intelligence. Many states and even some cities have enacted or are considering net-neutrality and privacy regulations, while for its part, Congress is considering a range of possible actions on technology. But what problems should policymakers address, and how should they address them?</p>",https://www.hillhappenings.com//list/2019/3/19/approaches-to-regulating-technologyfrom-privacy-to-ai,http://maps.google.com?q=562 Dirksen Senate Office Building
"Monday, March 18, 2019","4:00 PM,6:00 PM",Advancing Gender Equality Globally,"<p style=""white-space:pre-wrap;""><a href=""https://docs.google.com/forms/d/e/1FAIpQLSevYhGpbVI3INlzcfwgLqUagMwGzeSyQJbkNJ9UIeTt_WwKew/viewform"">RSVP</a></p>",https://www.hillhappenings.com//list/2019/3/18/advancing-gender-equality-globally,http://maps.google.com?q=2168 Rayburn House Office Building
"Monday, March 18, 2019","12:30 PM,2:00 PM","Ready or Not: Protecting the Public's Health from Diseases, Disasters and Bioterrorism","<p style=""white-space:pre-wrap;"">One lesson from recent events is that emergencies happen. And happen often. From disease outbreaks to natural disasters to man-made crises, the stakes are high: Americans face serious health risks and even death with increasing regularity. This briefing will cover the latest information on state and federal preparedness efforts and recommendations for policymakers to prioritize to help protect the nation from major health threats.  </p>",https://www.hillhappenings.com//list/2019/3/18/ready-or-not-protecting-the-publics-health-from-diseases-disasters-and-bioterrorism,http://maps.google.com?q=2044 Rayburn House Office Building
"Friday, March 15, 2019","5:00 PM,8:00 PM",The App Association's Pi Day Reception,"<p style=""white-space:pre-wrap;""><a href=""mailto:tsmith@PAEAonline.org"" target=""_blank"">RSVP</a> </p>",https://www.hillhappenings.com//list/2019/3/15/the-app-associations-pi-day-reception,"http://maps.google.com?q=201 Massachusetts Avenue Northeast Washington, DC, 20002 United States"
"Friday, March 15, 2019","12:00 PM,1:30 PM",Behind the Bumper Sticker: Free College,"<p style=""white-space:pre-wrap;"">With <em>Higher Education Act (HEA)</em> negotiations underway in the Senate, and the 2020 presidential primary ramping up, discussions around free college are back in the news. But what does “free college” really mean if you dig beneath the headlines? Is it actually<em> free</em>? And which students benefit the most? To answer these questions and more, join Third Way on <strong>Friday, March 15th, from 12:00 to 1:30pm</strong> at the Capitol Visitors Center for the fifth event in our ""Behind the Bumper Sticker"" series, this time featuring a robust discussion with some of higher ed’s preeminent free college experts.</p>",https://www.hillhappenings.com//list/2019/3/15/behind-the-bumper-sticker-free-college,"http://maps.google.com?q=SVC-209, Capitol Visitor Center"
"Friday, March 15, 2019","12:00 PM,1:30 PM",Lunch and Learn: Tax Extenders 101,"<p style=""white-space:pre-wrap;"">Please join us for a lunch briefing on the history of these tax credits, what they are, and how they impact businesses across the country. Hear from a panel of tax policy professionals impacted by these temporary tax provisions. The briefing will be nonpartisan and bicameral. Staff from House and Senate offices are invited to participate.</p>",https://www.hillhappenings.com//list/2019/3/15/lunch-and-learn-tax-extenders-101,http://maps.google.com?q=1100 Longworth House Office Building
"Friday, March 15, 2019","12:00 PM,1:00 PM",Approaches to Counter Russian Social Media Influence,"<p style=""white-space:pre-wrap;"">In testimony before Congress, Director of National Intelligence Dan Coats predicted that Russia’s social media campaigns “will continue to focus on aggravating social and racial tensions, undermining trust in authorities, and criticizing perceived anti-Russian politicians” and may seek to influence U.S. policy and elections. The Russian “disinformation chain” starts from the very top—from Russian leadership, to Russian actors and proxies, through channels of amplification such as social media platforms, and finally to U.S. media consumers. So how can policymakers combat this threat in the United States?</p>",https://www.hillhappenings.com//list/2019/3/15/approaches-to-counter-russian-social-media-influence,http://maps.google.com?q=2043 Rayburn House Office Building
"Friday, March 15, 2019","11:00 AM,12:00 PM",Is Arbitration a Solution to High Drug Prices?,"<p style=""white-space:pre-wrap;""> </p>",https://www.hillhappenings.com//list/2019/3/15/is-arbitration-a-solution-to-high-drug-prices,"http://maps.google.com?q=HVC-201, Capitol Visitor Center"
"Thursday, March 14, 2019","5:30 PM,7:30 PM",Wine Down With GAIN!,"<p style=""white-space:pre-wrap;"">Please come and 'wine down' with <a href=""http://gaindc.org/"" target=""_blank"">GAIN</a> and wine expert Logan Misean for a fantastic evening of networking, tastings and a quick lesson on how to choose wine like a pro and host a snazzy soirée on any budget. <a href=""https://www.eventbrite.com/e/wine-down-with-gain-tickets-55378911816"">$5 - register here</a></p>",https://www.hillhappenings.com//list/2019/3/14/wine-down-with-gain,"http://maps.google.com?q=700 Pennsylvania Avenue Southeast Washington, DC, 20003 United States"
"Thursday, March 14, 2019","5:00 PM,7:30 PM",Women's Congressional Staff Association Women's History Month Happy Hour,"<p style=""white-space:pre-wrap;"">Please join the Women's Congressional Staff Association for a pre-recess happy hour in celebration of Women's History Month.   </p>",https://www.hillhappenings.com//list/2019/3/14/womens-congressional-staff-association-womens-history-month-happy-house,"http://maps.google.com?q=1221 Van Street Southeast Washington, DC, 20003 United States"
"Thursday, March 14, 2019","12:00 PM,1:30 PM",Briefing on Diagnostic Breast Imaging,"<p style=""white-space:pre-wrap;"">Women across the country now have access to screening mammography without out-of-pocket costs. However, as many as 10 percent will need follow-up imaging that could require patients to pay hundreds, or even thousands, of dollars. The difference in coverage is even more stark for those with a history of breast cancer, who often utilize diagnostic imaging as their standard of care for screening. Please join Susan G. Komen to learn about the uses of diagnostic imaging, the impact of out-of-costs on patients and potential solutions for eliminating barriers to breast cancer screening, diagnosis and treatment.</p>",https://www.hillhappenings.com//list/2019/3/14/briefing-on-diagnostic-breast-imaging,http://maps.google.com?q=2168 Rayburn House Office Building
"Thursday, March 14, 2019","12:00 PM,1:00 PM",Public Health and the Importance of Accurate Hormone Tests,"<p style=""white-space:pre-wrap;"">Join the Public Health Caucus to learn why we need standardized hormone tests, why these tests are not standardized now, and what the Centers for Disease Control and Prevention (CDC) is doing to improve accuracy. For more information please click <a href=""https://files.constantcontact.com/6ce74d4e301/b9c3ce87-526a-4f27-82d2-cc61acfc0abc.pdf"" target=""_blank"" title=""undefined"">here</a> and to RSVP please contact <a href=""mailto:gkranstover@endocrine.org"">gkranstover@endocrine.org</a></p>",https://www.hillhappenings.com//list/2019/3/14/public-health-and-the-importance-of-accurate-hormone-tests,http://maps.google.com?q=121 Cannon House Office Building
"Thursday, March 14, 2019","12:00 PM,1:00 PM",NIH 101: An Introduction to the National Institutes of Health,"<p style=""white-space:pre-wrap;"">The National Institutes of Health (NIH) is the world’s leading supporter of fundamental discovery that extends healthy lives and reduces the burden of illness. Thanks to the Congressional investment, NIH-supported research has met some of our nation’s biggest<br/>health challenges.</p>",https://www.hillhappenings.com//list/2019/3/14/nih-101-an-introduction-to-the-national-institutes-of-health,http://maps.google.com?q=122 Cannon House Office Building
"Thursday, March 14, 2019","11:30 AM,12:30 PM",Moving Towards a Mine Impact-Free Sri Lanka,"<p style=""white-space:pre-wrap;"">On behalf of the bipartisan Congressional UXO/Demining Caucus, we are pleased to invite your staff to a briefing on mine removal efforts in Sri Lanka. This briefing will shed light on an important U.S. foreign assistance program and post-conflict reconstruction. Come hear about the steps being taken to create a mine impact-free Sri Lanka.  This briefing will be held on Thursday, March 14th from 11:30-12:30 in Room HC-8 of the Capitol Building. This event will feature speakers from the HALO Trust, representatives from the Department of State’s Weapons Removal and Abatement Office, the Embassy of Sri Lanka, and MAG America.  A light lunch will be provided in accordance with Congressional Ethics rules. Please RSVP <a href=""https://goo.gl/forms/hxJoCqY4FQ5ni1xg2"">here</a>. </p>",https://www.hillhappenings.com//list/2019/3/14/moving-towards-a-mine-impact-free-sri-lanka,"http://maps.google.com?q=HC-8, US Capitol Building"
"Wednesday, March 13, 2019","6:30 PM,8:30 PM",Physician Assistant Student Congressional Reception,"<p style=""white-space:pre-wrap;""><a href=""mailto:tsmith@PAEAonline.org"" target=""_blank"">RSVP</a></p>",https://www.hillhappenings.com//list/2019/3/13/physician-assistant-student-congressional-reception,"http://maps.google.com?q=H-137, US Capitol Building"
"Wednesday, March 13, 2019","6:00 PM,8:00 PM",Progressive Policy Institute Quarterly Capitol Hill Reception,"<p style=""white-space:pre-wrap;"">Join us for our Quarterly Capitol Hill Reception at the Akin Gump Capitol Hill Office, starting at 6:00 PM on Wednesday, March 13th. <strong>The event will be on the 5th floor.</strong></p>",https://www.hillhappenings.com//list/2019/3/13/progressive-policy-institute-quarterly-capitol-hill-reception,"http://maps.google.com?q=700 Pennsylvania Avenue Southeast, 5th Floor Washington, DC, 20003 United States"
"Wednesday, March 13, 2019","5:30 PM,7:30 PM",Coalition of Community Development Financial Institutions Reception,"<p style=""white-space:pre-wrap;"">To RSVP please email <a href=""mailto:beverly@rapoza.org"">beverly@rapoza.org</a></p>",https://www.hillhappenings.com//list/2019/3/13/coalition-of-community-development-financial-institutions-reception,http://maps.google.com?q=485 Russell Senate Office Building
"Wednesday, March 13, 2019","5:30 PM,6:30 PM",Congressional Nuclear Security Working Group Reception,"<p style=""white-space:pre-wrap;"">The Nuclear Security Working Group cordially invite you to a reception to recognize the new leadership of the Congressional Nuclear Security Working Group (CNSWG): Representatives Jeff Fortenberry (R-NE), Bill Foster (D-IL), Chuck Fleischmann (R-TN), and Ben Ray Luján (D-NM). Brief remarks from the incoming and 2018 CNSWG co-chairs will be followed be a light reception.</p>",https://www.hillhappenings.com//list/2019/3/13/congressional-nuclear-security-working-group-reception,http://maps.google.com?q=2359 Rayburn House Office Building
"Wednesday, March 13, 2019","5:30 PM,7:30 PM",Consortium for Ocean Leadership Reception,"<p style=""white-space:pre-wrap;""><a href=""https://oceanleadership.org/public-policy-forum/public-policy-forum-rsvp/""><strong>RSVP</strong></a></p>",https://www.hillhappenings.com//list/2019/3/13/consortium-for-ocean-leadership-reception,http://maps.google.com?q=G-11 Dirksen Senate Office Building
"Wednesday, March 13, 2019","5:30 PM,7:30 PM",CSO & ASBPA Coastal Celebration Reception,"<p style=""white-space:pre-wrap;"">This widely attended event is an opportunity to bring together leaders working at all levels in coastal communities, including businesses and industry, conservation groups and environmental non-profits, state coastal managers, coastal scientists and engineers, and others to discuss important coastal issues. This reception style event will also include brief introductory remarks from leadership of CSO and ASBPA, as well as congressional coastal champions. This event provides an opportunity for attendees to informally discuss coastal policy issues and share stories and lessons learned about coastal restoration and management.  </p>",https://www.hillhappenings.com//list/2019/3/13/cso-amp-asbpa-coastal-celebration-reception,http://maps.google.com?q=902 Hart Senate Office Building
"Wednesday, March 13, 2019","5:00 PM,7:00 PM",American Red Cross Reception,,https://www.hillhappenings.com//list/2019/3/13/american-red-cross-reception,http://maps.google.com?q=2045 Rayburn House Office Building
"Wednesday, March 13, 2019","5:00 PM,7:00 PM",Celebrating Brain Injury Awareness Month Reception,"<p style=""white-space:pre-wrap;"">The Brain Injury Association of America (BIAA) is pleased to announce that the Congressional Brain Injury Task Force, chaired by Rep. Bill Pascrell, Jr. (D-N.J.), has scheduled Brain Injury Awareness Day on Capitol Hill Wednesday, March 13, 2019. As in years past, there will be an awareness fair, congressional briefing, and reception.</p>",https://www.hillhappenings.com//list/2019/3/13/celebrating-brain-injury-awareness-monthnbspreception,http://maps.google.com?q=2043 Rayburn House Office Building
"Wednesday, March 13, 2019","12:30 PM,1:30 PM",A Day Without Space,"<p style=""white-space:pre-wrap;"">There may be no boundaries to space, but the links and connectivity space has to our lives here on Earth are innumerable. Nowhere are those connections more important than in preserving and promoting our national and economic security. Join the Space Foundation and CompTIA Space Enterprise Council on Wednesday, March 13th at the Rayburn House Office Building, Room 2325 to hear from national experts that will share their insights on the critical impacts and infrastructures of today’s space environment.</p>",https://www.hillhappenings.com//list/2019/3/13/a-day-without-space,http://maps.google.com?q=2325 Rayburn House Office Building
"Tuesday, March 12, 2019","12:00 PM,1:00 PM",Barriers to Lifesaving Colorectal Cancer Screening,"<p style=""white-space:pre-wrap;"">On Tuesday, March 12, experts from the American College of Gastroenterology, American Gastroenterological Association, and American Society for Gastrointestinal Endoscopy, with special guest U.S. Representative James McGovern, will outline colorectal cancer risk factors, break down the differences among colorectal cancer screening options, and highlight barriers to screening at a special briefing in recognition of National Colorectal Cancer Awareness Month.</p>",https://www.hillhappenings.com//list/2019/3/12/barriers-to-lifesaving-colorectal-cancer-screening,http://maps.google.com?q=2060 Rayburn House Office Building
"Tuesday, March 12, 2019","12:00 PM,1:30 PM","5G, Wi-Fi, Spectrum Sharing: An In-Depth Look at Automated Frequency Coordination","<p style=""white-space:pre-wrap;"">The Dynamic Spectrum Alliance (DSA), in partnership with the Congressional Spectrum Caucus, is honored to host officials from the FCC, NTIA, DOD and various Congressional Offices for this unique workshop which will provide a summary of the DSA's recently published research paper on the advancements, benefits, and potential for the use of databases to manage spectrum allocation to achieve greater utilization of this limited resource and provide lower costs to allow greater connectivity across the US and around the world-- in urban and rural places.</p>",https://www.hillhappenings.com//list/2019/3/12/dsa-workshop-on-spectrum-management-databases,"http://maps.google.com?q=HC-5, US Capitol Building"
